**********	ACC2	version	4.2:	ACC2_scenarios_past.inc	*******************************************************************																	
**********	Table	declarations	and	assignments	(past	mode)	==============================================================															
																						
TABLE	ANTSCN(T,FOE)	Historical	emissions	(both	energy	related	and	non-energy	related)	[TgS	for	SO2]										
*	Anthropogenic	CO2	emission	is	assigned	later.																
*	Data	source	for	CH4	and	N2O	after	1890:00:00														
*	EDGAR-HYDE	1,4	(http://www.mnp.nl/edgar/model/100_year_emissions/edgar-hyde-1.4/)																			
*	Data	source	for	NOx,	CO,	VOC,	and	SO2	after	1890:00:00												
*	EDGAR-HYDE	1,3	(http://www.mnp.nl/edgar/model/100_year_emissions/edgar-hyde-1.3/)																			
*	Note	that	the	livestock	N2O	emission	in	Africa	in	1950	was	corrected	by	smoothing	as	suggested	by	van	Aardenne.			
*	Data	prior	to	1890	are	extrapolated	by	using	various	assumptions.												
																						
	CH4	N2O	NOx	CO	VOC	SO2																
1769	0	0	0																			
1770	0	0	0																			
1771	0	0	0																			
1772	0	0	0																			
1773	0	0	0																			
1774	0	0	0																			
1775	0	0	0																			
1776	0	0	0																			
1777	0	0	0																			
1778	0	0	0																			
1779	0	0	0																			
1780	0	0	0																			
1781	0	0	0																			
1782	0	0	0																			
1783	0	0	0																			
1784	0	0	0																			
1785	0	0	0																			
1786	0	0	0																			
1787	0	0	0																			
1788	0	0	0																			
1789	0	0	0																			
1790	0	0	0																			
1791	0	0	0																			
1792	0	0	0																			
1793	0	0	0																			
1794	0	0	0																			
1795	0	0	0																			
1796	0	0	0																			
1797	0	0	0																			
1798	0	0	0																			
1799	0	0	0																			
1800	0	0	0																			
1801	0	0	0																			
1802	0	0	0																			
1803	0	0	0																			
1804	0	0	0																			
1805	0	0	0																			
1806	0	0	0																			
1807	0	0	0																			
1808	0	0	0																			
1809	0	0	0																			
1810	0	0	0																			
1811	0	0	0																			
1812	0	0	0																			
1813	0	0	0																			
1814	0	0	0																			
1815	0	0	0																			
1816	0	0	0																			
1817	0	0	0																			
1818	0	0	0																			
1819	0	0	0																			
1820	0	0	0																			
1821	0	0	0																			
1822	0	0	0																			
1823	0	0	0																			
1824	0	0	0																			
1825	0	0	0																			
1826	0	0	0																			
1827	0	0	0																			
1828	0	0	0																			
1829	0	0	0																			
1830	0	0	0																			
1831	0	0	0																			
1832	0	0	0																			
1833	0	0	0																			
1834	0	0	0																			
1835	0	0	0																			
1836	0	0	0																			
1837	0	0	0																			
1838	0	0	0																			
1839	0	0	0																			
1840	0	0	0																			
1841	0	0	0																			
1842	0	0	0																			
1843	0	0	0																			
1844	0	0	0																			
1845	0	0	0																			
1846	0	0	0																			
1847	0	0	0																			
1848	0	0	0																			
1849	0	0	0																			
1850	0	0	0																			
1851	0	0	0																			
1852	0	0	0																			
1853	0	0	0																			
1854	0	0	0																			
1855	0	0	0																			
1856	0	0	0																			
1857	0	0	0																			
1858	0	0	0																			
1859	0	0	0																			
1860	0	0	0																			
1861	0	0	0																			
1862	0	0	0																			
1863	0	0	0																			
1864	0	0	0																			
1865	0	0	0																			
1866	0	0	0																			
1867	0	0	0																			
1868	0	0	0																			
1869	0	0	0																			
1870	0	0	0																			
1871	0	0	0																			
1872	0	0	0																			
1873	0	0	0																			
1874	0	0	0																			
1875	0	0	0																			
1876	0	0	0																			
1877	0	0	0																			
1878	0	0	0																			
1879	0	0	0																			
1880	0	0	0																			
1881	0	0	0																			
1882	0	0	0																			
1883	0	0	0																			
1884	0	0	0																			
1885	0	0	0																			
1886	0	0	0																			
1887	0	0	0																			
1888	0	0	0																			
1889	0	0	0																			
1890	0	0	0																			
1891	0	0	0																			
1892	0	0	0																			
1893	0	0	0																			
1894	0	0	0																			
1895	0	0	0																			
1896	0	0	0																			
1897	0	0	0																			
1898	0	0	0																			
1899	0	0	0																			
1900	0	0	0																			
1901	0	0	0																			
1902	0	0	0																			
1903	0	0	0																			
1904	0	0	0																			
1905	0	0	0																			
1906	0	0	0																			
1907	0	0	0																			
1908	0	0	0																			
1909	0	0	0																			
1910	0	0	0																			
1911	0	0	0																			
1912	0	0	0																			
1913	0	0	0																			
1914	0	0	0																			
1915	0	0	0																			
1916	0	0	0																			
1917	0	0	0																			
1918	0	0	0																			
1919	0	0	0																			
1920	0	0	0																			
1921	0	0	0																			
1922	0	0	0																			
1923	0	0	0																			
1924	0	0	0																			
1925	0	0	0																			
1926	0	0	0																			
1927	0	0	0																			
1928	0	0	0																			
1929	0	0	0																			
1930	0	0	0																			
1931	0	0	0																			
1932	0	0	0																			
1933	0	0	0																			
1934	0	0	0																			
1935	0	0	0																			
1936	0	0	0																			
1937	0	0	0																			
1938	0	0	0																			
1939	0	0	0																			
1940	0	0	0																			
1941	0	0	0																			
1942	0	0	0																			
1943	0	0	0																			
1944	0	0	0																			
1945	0	0	0																			
1946	0	0	0																			
1947	0	0	0																			
1948	0	0	0																			
1949	0	0	0																			
1950	0	0	0																			
1951	0	0	0																			
1952	0	0	0																			
1953	0	0	0																			
1954	0	0	0																			
1955	0	0	0																			
1956	0	0	0																			
1957	0	0	0																			
1958	0	0	0																			
1959	0	0	0																			
1960	0	0	0																			
1961	0	0	0																			
1962	0	0	0																			
1963	0	0	0																			
1964	0	0	0																			
1965	0	0	0																			
1966	0	0	0																			
1967	0	0	0																			
1968	0	0	0																			
1969	0	0	0																			
1970	0	0	0																			
1971	0	0	0																			
1972	0,038	0,032	0																			
1973	0,147	0,096	0																			
1974	0,243	0,165	0																			
1975	0,347	0,235	0,007																			
1976	0,456	0,306	0,027																			
1977	0,553	0,377	0,046																			
1978	0,621	0,446	0,066																			
1979	0,689	0,519	0,086																			
1980	0,864	0,609	0,106																			
1981	0,977	0,698	0,125																			
1982	1,049	0,77	0,145																			
1983	1,149	0,827	0,165																			
1984	1,255	0,91	0,185																			
1985	1,386	1,018	0,204																			
1986	1,525	1,127	0,224																			
1987	1,563	1,233	0,244																			
1988	1,709	1,453	0,264																			
1989	1,966	1,591	0,284																			
1990	2,27	1,66	0,31																			
1991	2,54	1,85	0,34																			
1992	2,79	1,98	0,36																			
1993	2,94	2,07	0,38																			
1994	3,1	2,17	0,4																			
1995	3,25	2,33	0,42																			
1996	3,4	2,46	0,43																			
1997	3,55	2,55	0,43																			
1998	3,69	2,64	0,43																			
1999	3,83	2,73	0,42																			
2000	3,97	2,82	0,41																			
																						
=+	HCFC22	HCFC141b	HCFC142b	HCFC123																		
1750	0	0	0	0																		
1751	0	0	0	0																		
1752	0	0	0	0																		
1753	0	0	0	0																		
1754	0	0	0	0																		
1755	0	0	0	0																		
1756	0	0	0	0																		
1757	0	0	0	0																		
1758	0	0	0	0																		
1759	0	0	0	0																		
1760	0	0	0	0																		
1761	0	0	0	0																		
1762	0	0	0	0																		
1763	0	0	0	0																		
1764	0	0	0	0																		
1765	0	0	0	0																		
1766	0	0	0	0																		
1767	0	0	0	0																		
1768	0	0	0	0																		
1769	0	0	0	0																		
1770	0	0	0	0																		
1771	0	0	0	0																		
1772	0	0	0	0																		
1773	0	0	0	0																		
1774	0	0	0	0																		
1775	0	0	0	0																		
1776	0	0	0	0																		
1777	0	0	0	0																		
1778	0	0	0	0																		
1779	0	0	0	0																		
1780	0	0	0	0																		
1781	0	0	0	0																		
1782	0	0	0	0																		
1783	0	0	0	0																		
1784	0	0	0	0																		
1785	0	0	0	0																		
1786	0	0	0	0																		
1787	0	0	0	0																		
1788	0	0	0	0																		
1789	0	0	0	0																		
1790	0	0	0	0																		
1791	0	0	0	0																		
1792	0	0	0	0																		
1793	0	0	0	0																		
1794	0	0	0	0																		
1795	0	0	0	0																		
1796	0	0	0	0																		
1797	0	0	0	0																		
1798	0	0	0	0																		
1799	0	0	0	0																		
1800	0	0	0	0																		
1801	0	0	0	0																		
1802	0	0	0	0																		
1803	0	0	0	0																		
1804	0	0	0	0																		
1805	0	0	0	0																		
1806	0	0	0	0																		
1807	0	0	0	0																		
1808	0	0	0	0																		
1809	0	0	0	0																		
1810	0	0	0	0																		
1811	0	0	0	0																		
1812	0	0	0	0																		
1813	0	0	0	0																		
1814	0	0	0	0																		
1815	0	0	0	0																		
1816	0	0	0	0																		
1817	0	0	0	0																		
1818	0	0	0	0																		
1819	0	0	0	0																		
1820	0	0	0	0																		
1821	0	0	0	0																		
1822	0	0	0	0																		
1823	0	0	0	0																		
1824	0	0	0	0																		
1825	0	0	0	0																		
1826	0	0	0	0																		
1827	0	0	0	0																		
1828	0	0	0	0																		
1829	0	0	0	0																		
1830	0	0	0	0																		
1831	0	0	0	0																		
1832	0	0	0	0																		
1833	0	0	0	0																		
1834	0	0	0	0																		
1835	0	0	0	0																		
1836	0	0	0	0																		
1837	0	0	0	0																		
1838	0	0	0	0																		
1839	0	0	0	0																		
1840	0	0	0	0																		
1841	0	0	0	0																		
1842	0	0	0	0																		
1843	0	0	0	0																		
1844	0	0	0	0																		
1845	0	0	0	0																		
1846	0	0	0	0																		
1847	0	0	0	0																		
1848	0	0	0	0																		
1849	0	0	0	0																		
1850	0	0	0	0																		
1851	0	0	0	0																		
1852	0	0	0	0																		
1853	0	0	0	0																		
1854	0	0	0	0																		
1855	0	0	0	0																		
1856	0	0	0	0																		
1857	0	0	0	0																		
1858	0	0	0	0																		
1859	0	0	0	0																		
1860	0	0	0	0																		
1861	0	0	0	0																		
1862	0	0	0	0																		
1863	0	0	0	0																		
1864	0	0	0	0																		
1865	0	0	0	0																		
1866	0	0	0	0																		
1867	0	0	0	0																		
1868	0	0	0	0																		
1869	0	0	0	0																		
1870	0	0	0	0																		
1871	0	0	0	0																		
1872	0	0	0	0																		
1873	0	0	0	0																		
1874	0	0	0	0																		
1875	0	0	0	0																		
1876	0	0	0	0																		
1877	0	0	0	0																		
1878	0	0	0	0																		
1879	0	0	0	0																		
1880	0	0	0	0																		
1881	0	0	0	0																		
1882	0	0	0	0																		
1883	0	0	0	0																		
1884	0	0	0	0																		
1885	0	0	0	0																		
1886	0	0	0	0																		
1887	0	0	0	0																		
1888	0	0	0	0																		
1889	0	0	0	0																		
1890	0	0	0	0																		
1891	0	0	0	0																		
1892	0	0	0	0																		
1893	0	0	0	0																		
1894	0	0	0	0																		
1895	0	0	0	0																		
1896	0	0	0	0																		
1897	0	0	0	0																		
1898	0	0	0	0																		
1899	0	0	0	0																		
1900	0	0	0	0																		
1901	0	0	0	0																		
1902	0	0	0	0																		
1903	0	0	0	0																		
1904	0	0	0	0																		
1905	0	0	0	0																		
1906	0	0	0	0																		
1907	0	0	0	0																		
1908	0	0	0	0																		
1909	0	0	0	0																		
1910	0	0	0	0																		
1911	0	0	0	0																		
1912	0	0	0	0																		
1913	0	0	0	0																		
1914	0	0	0	0																		
1915	0	0	0	0																		
1916	0	0	0	0																		
1917	0	0	0	0																		
1918	0	0	0	0																		
1919	0	0	0	0																		
1920	0	0	0	0																		
1921	0	0	0	0																		
1922	0	0	0	0																		
1923	0	0	0	0																		
1924	0	0	0	0																		
1925	0	0	0	0																		
1926	0	0	0	0																		
1927	0	0	0	0																		
1928	0	0	0	0																		
1929	0	0	0	0																		
1930	0	0	0	0																		
1931	0	0	0	0																		
1932	0	0	0	0																		
1933	0	0	0	0																		
1934	0	0	0	0																		
1935	0	0	0	0																		
1936	0	0	0	0																		
1937	0	0	0	0																		
1938	0	0	0	0																		
1939	0	0	0	0																		
1940	0	0	0	0																		
1941	0	0	0	0																		
1942	0	0	0	0																		
1943	0	0	0	0																		
1944	0	0	0	0																		
1945	0	0	0	0																		
1946	0	0	0	0																		
1947	0	0	0	0																		
1948	0	0	0	0																		
1949	0,166	0	0	0																		
1950	0,35	0	0	0																		
1951	0,528	0	0	0																		
1952	0,699	0	0	0																		
1953	0,86	0	0	0																		
1954	1,012	0	0	0																		
1955	1,155	0	0	0																		
1956	1,294	0	0	0																		
1957	1,444	0	0	0																		
1958	1,62	0	0	0																		
1959	1,841	0	0	0																		
1960	2,126	0	0,081	0																		
1961	2,497	0	0,12	0																		
1962	2,977	0	0,131	0																		
1963	3,585	0	0,131	0																		
1964	4,342	0	0,131	0																		
1965	5,265	0	0,133	0																		
1966	6,37	0	0,14	0																		
1967	7,673	0	0,152	0																		
1968	9,189	0	0,168	0																		
1969	10,92	0	0,189	0																		
1970	12,86	0	0,215	0																		
1971	14,98	0	0,246	0																		
1972	17,26	0	0,28	0																		
1973	19,68	0	0,318	0																		
1974	22,19	0	0,359	0																		
1975	24,76	0	0,4	0																		
1976	27,35	0	0,441	0																		
1977	29,91	0	0,481	0																		
1978	32,4	0	0,519	0																		
1979	34,42	0	0,536	0																		
1980	39,73	0	0,525	0																		
1981	44,36	0	0,655	0																		
1982	47,89	0	0,668	0																		
1983	51,3	0	0,803	0																		
1984	54,73	0	0,877	0																		
1985	59,49	0	0,881	0																		
1986	63,07	0	0,959	0																		
1987	68,25	0	0,892	0																		
1988	74,48	0	0,89	0																		
1989	78,29	0	1,061	0																		
1990	82	0	1,2	0																		
1991	88,1	0	1,7	0																		
1992	94,4	0	2,4	0																		
1993	100,8	0,2	3,3	0																		
1994	106,8	0,9	4,2	0																		
1995	112,8	2,1	5,2	0																		
1996	118,6	3,8	6,3	0																		
1997	125	5,5	7,4	0																		
1998	130,5	7,1	8,5	0																		
1999	136,1	9	9,4	0																		
2000	141,6	10,8	10,5	0																		
																						
=+	SF6																					
1750	0,01																					
1751	0,01																					
1752	0,01																					
1753	0,01																					
1754	0,01																					
1755	0,01																					
1756	0,01																					
1757	0,01																					
1758	0,01																					
1759	0,01																					
1760	0,01																					
1761	0,01																					
1762	0,01																					
1763	0,01																					
1764	0,01																					
1765	0,01																					
1766	0,01																					
1767	0,01																					
1768	0,01																					
1769	0,01																					
1770	0,01																					
1771	0,01																					
1772	0,01																					
1773	0,01																					
1774	0,01																					
1775	0,01																					
1776	0,01																					
1777	0,01																					
1778	0,01																					
1779	0,01																					
1780	0,01																					
1781	0,01																					
1782	0,01																					
1783	0,01																					
1784	0,01																					
1785	0,01																					
1786	0,01																					
1787	0,01																					
1788	0,01																					
1789	0,01																					
1790	0,01																					
1791	0,01																					
1792	0,01																					
1793	0,01																					
1794	0,01																					
1795	0,01																					
1796	0,01																					
1797	0,01																					
1798	0,01																					
1799	0,01																					
1800	0,01																					
1801	0,01																					
1802	0,01																					
1803	0,01																					
1804	0,01																					
1805	0,01																					
1806	0,01																					
1807	0,01																					
1808	0,01																					
1809	0,01																					
1810	0,01																					
1811	0,01																					
1812	0,01																					
1813	0,01																					
1814	0,01																					
1815	0,01																					
1816	0,01																					
1817	0,01																					
1818	0,01																					
1819	0,01																					
1820	0,01																					
1821	0,01																					
1822	0,01																					
1823	0,01																					
1824	0,01																					
1825	0,01																					
1826	0,01																					
1827	0,01																					
1828	0,01																					
1829	0,01																					
1830	0,01																					
1831	0,01																					
1832	0,01																					
1833	0,01																					
1834	0,01																					
1835	0,01																					
1836	0,01																					
1837	0,01																					
1838	0,01																					
1839	0,01																					
1840	0,01																					
1841	0,01																					
1842	0,01																					
1843	0,01																					
1844	0,01																					
1845	0,01																					
1846	0,01																					
1847	0,01																					
1848	0,01																					
1849	0,01																					
1850	0,01																					
1851	0,01																					
1852	0,01																					
1853	0,01																					
1854	0,01																					
1855	0,01																					
1856	0,01																					
1857	0,01																					
1858	0,01																					
1859	0,01																					
1860	0,01																					
1861	0,01																					
1862	0,01																					
1863	0,01																					
1864	0,01																					
1865	0,01																					
1866	0,01																					
1867	0,01																					
1868	0,01																					
1869	0,01																					
1870	0,01																					
1871	0,01																					
1872	0,01																					
1873	0,01																					
1874	0,01																					
1875	0,01																					
1876	0,01																					
1877	0,01																					
1878	0,01																					
1879	0,01																					
1880	0,01																					
1881	0,01																					
1882	0,01																					
1883	0,01																					
1884	0,01																					
1885	0,01																					
1886	0,01																					
1887	0,01																					
1888	0,01																					
1889	0,01																					
1890	0,01																					
1891	0,01																					
1892	0,01																					
1893	0,01																					
1894	0,01																					
1895	0,01																					
1896	0,01																					
1897	0,01																					
1898	0,01																					
1899	0,01																					
1900	0,01																					
1901	0,01																					
1902	0,01																					
1903	0,01																					
1904	0,01																					
1905	0,01																					
1906	0,01																					
1907	0,01																					
1908	0,01																					
1909	0,01																					
1910	0,01																					
1911	0,01																					
1912	0,01																					
1913	0,01																					
1914	0,01																					
1915	0,01																					
1916	0,01																					
1917	0,01																					
1918	0,01																					
1919	0,01																					
1920	0,01																					
1921	0,01																					
1922	0,01																					
1923	0,01																					
1924	0,01																					
1925	0,01																					
1926	0,01																					
1927	0,01																					
1928	0,01																					
1929	0,01																					
1930	0,01																					
1931	0,01																					
1932	0,01																					
1933	0,01																					
1934	0,01																					
1935	0,01																					
1936	0,01																					
1937	0,01																					
1938	0,01																					
1939	0,01																					
1940	0,01																					
1941	0,01																					
1942	0,01																					
1943	0,02																					
1944	0,02																					
1945	0,02																					
1946	0,02																					
1947	0,03																					
1948	0,03																					
1949	0,03																					
1950	0,03																					
1951	0,04																					
1952	0,04																					
1953	0,04																					
1954	0,04																					
1955	0,04																					
1956	0,04																					
1957	0,04																					
1958	0,05																					
1959	0,05																					
1960	0,05																					
1961	0,06																					
1962	0,06																					
1963	0,07																					
1964	0,09																					
1965	0,1																					
1966	0,12																					
1967	0,15																					
1968	0,17																					
1969	0,2																					
1970	0,22																					
1971	0,25																					
1972	0,28																					
1973	0,32																					
1974	0,36																					
1975	0,42																					
1976	0,48																					
1977	0,55																					
1978	0,63																					
1979	0,72																					
1980	0,82																					
1981	0,93																					
1982	1,05																					
1983	1,18																					
1984	1,32																					
1985	1,46																					
1986	1,62																					
1987	1,78																					
1988	1,96																					
1989	2,14																					
1990	2,33																					
1991	2,53																					
1992	2,75																					
1993	2,97																					
1994	3,2																					
1995	3,43																					
1996	3,68																					
1997	3,92																					
1998	4,14																					
1999	4,34																					
2000	4.53;																					
																						
																						
TABLE	ANTSGMORG(T,FOE)	One-sigma	prior	uncertainty	ranges	for	historical	emissions														
*	(both	energy	related	and	non-energy	related)																
*	Note	that	the	inversion	scheme	uses	the	uncertainty	estimates	only	for	CH4	and	N2O	emissions.							
*	The	current	inversion	scheme	does	not	take	account	of	the	uncertainties	in	the	emissions	of	NOx,	CO,	VOC,	and	SO2.		
*	Two-sigma	prior	error	ranges	in	1950,	1970,	1990,	and	2000	are	300%,	200%,	100%,	100%	of	the	prior	means.			
*	These	factors	are	interpolated	for	the	other	years.														
*	The	factor	of	300%	is	assumed	between	1890	and	1950												
*	For	CH4	and	N2O	before	1890,	the	two-sigma	prior	error	range	is	assumed	to	be	invariant	in	the	absolute	magnitude		
*	(same	as	that	in	1890).																	
*	For	other	gases	before	1890,	the	factor	of	300%	is	also	used.										
*	The	uncertainty	ranges	above	include	some	modifications	of	those	suggested	by	van	Aardenne	(personal	communication).							
																						
	CH4	N2O	NOx	CO	VOC	SO2																
1750	118,7	1,077	5,94	68,4	15,8	0,567																
1751	118,7	1,077	5,95	69	15,9	0,57																
1752	118,7	1,077	5,96	69,5	16	0,573																
1753	118,7	1,077	5,98	70	16,1	0,576																
1754	118,7	1,077	5,99	70,5	16,2	0,579																
1755	118,7	1,077	6	71	16,3	0,582																
1756	118,7	1,077	6,02	71,5	16,4	0,586																
1757	118,7	1,077	6,03	72,1	16,5	0,589																
1758	118,7	1,077	6,04	72,6	16,6	0,592																
1759	118,7	1,077	6,06	73,2	16,7	0,596																
1760	118,7	1,077	6,07	73,7	16,8	0,599																
1761	118,7	1,077	6,09	74,2	16,9	0,602																
1762	118,7	1,077	6,1	74,7	17	0,605																
1763	118,7	1,077	6,11	75,2	17,1	0,608																
1764	118,7	1,077	6,13	75,7	17,2	0,611																
1765	118,7	1,077	6,14	76,2	17,2	0,614																
1766	118,7	1,077	6,15	76,8	17,3	0,618																
1767	118,7	1,077	6,17	77,3	17,4	0,621																
1768	118,7	1,077	6,18	77,8	17,5	0,624																
1769	118,7	1,077	6,19	78,3	17,6	0,627																
1770	118,7	1,077	6,21	78,8	17,7	0,631																
1771	118,7	1,077	6,23	79,8	17,9	0,658																
1772	118,7	1,077	6,26	80,8	18,2	0,663																
1773	118,7	1,077	6,28	81,7	18,4	0,669																
1774	118,7	1,077	6,3	82,7	18,6	0,674																
1775	118,7	1,077	6,32	83,7	18,8	0,679																
1776	118,7	1,077	6,34	84,7	19	0,685																
1777	118,7	1,077	6,37	85,7	19,3	0,691																
1778	118,7	1,077	6,39	86,8	19,5	0,696																
1779	118,7	1,077	6,41	87,8	19,7	0,702																
1780	118,7	1,077	6,44	88,8	19,9	0,707																
1781	118,7	1,077	6,46	89,5	20,1	0,734																
1782	118,7	1,077	6,47	90,1	20,2	0,737																
1783	118,7	1,077	6,49	90,8	20,3	0,741																
1784	118,7	1,077	6,5	91,4	20,5	0,745																
1785	118,7	1,077	6,52	92,1	20,6	0,749																
1786	118,7	1,077	6,54	92,7	20,7	0,753																
1787	118,7	1,077	6,55	93,4	20,8	0,757																
1788	118,7	1,077	6,57	94	21	0,761																
1789	118,7	1,077	6,59	94,7	21,1	0,765																
1790	118,7	1,077	6,61	95,4	21,2	0,769																
1791	118,7	1,077	6,62	95,8	21,3	0,795																
1792	118,7	1,077	6,64	96,3	21,4	0,798																
1793	118,7	1,077	6,65	96,7	21,5	0,801																
1794	118,7	1,077	6,66	97,1	21,5	0,804																
1795	118,7	1,077	6,67	97,6	21,6	0,807																
1796	118,7	1,077	6,69	98,1	21,7	0,81																
1797	118,7	1,077	6,71	98,6	21,8	0,836																
1798	118,7	1,077	6,72	99,1	21,9	0,839																
1799	118,7	1,077	6,74	99,6	21,9	0,842																
1800	118,7	1,077	6,76	100,4	22,1	0,869																
1801	118,7	1,077	6,78	101	22,2	0,873																
1802	118,7	1,077	6,81	101,9	22,4	0,923																
1803	118,7	1,077	6,83	102,8	22,6	0,906																
1804	118,7	1,077	6,85	103,7	22,8	0,911																
1805	118,7	1,077	6,87	104,5	22,9	0,916																
1806	118,7	1,077	6,9	105,5	23,1	0,944																
1807	118,7	1,077	6,92	106,4	23,3	0,949																
1808	118,7	1,077	6,94	107,3	23,5	0,955																
1809	118,7	1,077	6,96	108,2	23,7	0,96																
1810	118,7	1,077	6,99	109,1	23,8	0,965																
1811	118,7	1,077	7,01	109,8	24	0,992																
1812	118,7	1,077	7,03	110,4	24,1	0,996																
1813	118,7	1,077	7,05	111,1	24,2	1																
1814	118,7	1,077	7,06	111,7	24,3	1,004																
1815	118,7	1,077	7,09	112,4	24,4	1,031																
1816	118,7	1,077	7,11	113	24,5	1,057																
1817	118,7	1,077	7,13	113,7	24,7	1,084																
1818	118,7	1,077	7,15	114,4	24,8	1,088																
1819	118,7	1,077	7,17	115	24,9	1,092																
1820	118,7	1,077	7,19	115,7	25	1,097																
1821	118,7	1,077	7,21	116,5	25,1	1,102																
1822	118,7	1,077	7,24	117,4	25,3	1,13																
1823	118,7	1,077	7,26	118,3	25,5	1,157																
1824	118,7	1,077	7,29	119,2	25,7	1,163																
1825	118,7	1,077	7,31	120,1	25,9	1,19																
1826	118,7	1,077	7,34	121	26	1,196																
1827	118,7	1,077	7,36	121,9	26,2	1,224																
1828	118,7	1,077	7,39	122,8	26,4	1,229																
1829	118,7	1,077	7,41	123,7	26,6	1,235																
1830	118,7	1,077	7,46	124,7	26,8	1,374																
1831	118,7	1,077	7,48	125,5	26,9	1,357																
1832	118,7	1,077	7,5	126,2	27,1	1,361																
1833	118,7	1,077	7,52	127	27,2	1,389																
1834	118,7	1,077	7,54	127,7	27,3	1,394																
1835	118,7	1,077	7,57	128,5	27,5	1,421																
1836	118,7	1,077	7,61	129,5	27,7	1,516																
1837	118,7	1,077	7,63	130,4	27,9	1,521																
1838	118,7	1,077	7,66	131,2	28	1,549																
1839	118,7	1,077	7,69	132,1	28,2	1,577																
1840	118,7	1,077	7,72	133	28,4	1,627																
1841	118,7	1,077	7,75	133,9	28,6	1,655																
1842	118,7	1,077	7,78	134,9	28,8	1,705																
1843	118,7	1,077	7,81	135,8	29	1,733																
1844	118,7	1,077	7,84	136,7	29,2	1,784																
1845	118,7	1,077	7,88	137,7	29,4	1,879																
1846	118,7	1,077	7,9	138,5	29,5	1,884																
1847	118,7	1,077	7,94	139,3	29,7	1,957																
1848	118,7	1,077	7,97	140,1	29,8	1,984																
1849	118,7	1,077	8	141	30	2,057																
1850	118,7	1,077	8,14	146	30,9	2,184																
1851	118,7	1,077	8,15	146,5	31	2,188																
1852	118,7	1,077	8,24	149,6	31,5	2,277																
1853	118,7	1,077	8,27	150,4	31,6	2,327																
1854	118,7	1,077	8,34	151,4	31,8	2,557																
1855	118,7	1,077	8,37	152,1	32	2,607																
1856	118,7	1,077	8,43	153,4	32,2	2,728																
1857	118,7	1,077	8,46	154,5	32,4	2,758																
1858	118,7	1,077	8,5	155,6	32,6	2,788																
1859	118,7	1,077	8,55	156,9	32,9	2,908																
1860	118,7	1,077	8,62	158,2	33,1	3,097																
1861	118,7	1,077	8,67	159,8	33,4	3,198																
1862	118,7	1,077	8,65	158,5	33,3	3,209																
1863	118,7	1,077	8,71	159,7	33,5	3,374																
1864	118,7	1,077	8,78	160,9	33,8	3,585																
1865	118,7	1,077	8,84	162,1	34,1	3,751																
1866	118,7	1,077	8,88	163,2	34,3	3,826																
1867	118,7	1,077	8,94	164,4	34,6	4,015																
1868	118,7	1,077	8,98	165,4	34,8	4,112																
1869	118,7	1,077	9,05	166,6	35,1	4,301																
1870	118,7	1,077	9,09	167,7	35,3	4,422																
1871	118,7	1,077	9,19	169,8	35,8	4,664																
1872	118,7	1,077	9,37	174,6	36,7	5,089																
1873	118,7	1,077	9,45	176,4	37,1	5,33																
1874	118,7	1,077	9,44	177,4	37,2	5,107																
1875	118,7	1,077	9,54	179,1	37,7	5,439																
1876	118,7	1,077	9,59	180,5	37,9	5,518																
1877	118,7	1,077	9,64	181,9	38,2	5,596																
1878	118,7	1,077	9,68	183,3	38,5	5,651																
1879	118,7	1,077	9,78	185	38,9	5,985																
1880	118,7	1,077	9,93	187	39,5	6,601																
1881	118,7	1,077	10,02	189,7	40	6,783																
1882	118,7	1,077	10,06	189,4	40,1	7,081																
1883	118,7	1,077	10,17	191,1	40,6	7,467																
1884	118,7	1,077	10,21	192,4	40,9	7,545																
1885	118,7	1,077	10,26	193,7	41,1	7,624																
1886	118,7	1,077	10,31	195	41,4	7,726																
1887	118,7	1,077	10,4	196,5	41,8	8,041																
1888	118,7	1,077	10,57	198,4	42,4	8,81																
1889	118,7	1,077	10,6	199,5	42,7	8,817																
1890	118,7	1,077	10,36	180,8	37,3	9,654																
1891	120,6	1,089	10,46	183,6	38	10,091																
1892	122,5	1,101	10,57	186,4	38,7	10,528																
1893	124,3	1,113	10,68	189,2	39,4	10,964																
1894	126,2	1,125	10,79	192	40,2	11,401																
1895	128,1	1,137	10,89	194,8	40,9	11,838																
1896	129,9	1,149	11	197,6	41,6	12,274																
1897	131,8	1,161	11,11	200,4	42,3	12,711																
1898	133,7	1,173	11,22	203,1	43	13,148																
1899	135,5	1,185	11,32	205,9	43,8	13,584																
1900	137,4	1,196	11,43	208,7	44,5	14,021																
1901	139,3	1,211	11,59	211,2	45,1	14,695																
1902	141,2	1,225	11,74	213,6	45,7	15,369																
1903	143,2	1,24	11,9	216	46,4	16,044																
1904	145,1	1,254	12,06	218,4	47	16,718																
1905	147	1,268	12,21	220,8	47,6	17,392																
1906	148,9	1,283	12,37	223,2	48,2	18,066																
1907	150,8	1,297	12,53	225,7	48,9	18,741																
1908	152,7	1,312	12,68	228,1	49,5	19,415																
1909	154,7	1,326	12,84	230,5	50,1	20,089																
1910	156,6	1,34	12,99	232,9	50,7	20,763																
1911	159	1,363	13,12	235,4	51,4	21,109																
1912	161,3	1,386	13,25	237,8	52,1	21,455																
1913	163,7	1,409	13,38	240,3	52,9	21,801																
1914	166	1,432	13,51	242,8	53,6	22,146																
